Municipality	Province	Type	Area(KM2)	2011Pop	Cold Average Low	WarmAverage High	AppartmentRent(2 bedroom 3 unit or more)	UnemploymentRate (3 month ave feb 2012)	ListofUniversities	CrimeSeverity2011	NearestBoarder
Abbotsford	British Columbia	city	375.55	133497			821	9.1	University of the Fraser Valley	78.57	Abbotsford-Huntingdon
Brantford	Ontario	city	72.47	93650			848			99.09	Peace Bridge
Burnaby	British Columbia	city	90.61	223218					British Columbia Institute of Technology;Simon Fraser University	93.27	Boundary Bay
Calgary	Alberta	city	825.29	1096833	-15.1	22.9	1217	5.4	Ambrose University College;Mount Royal University;SAIT Polytechnic;St. Mary's University College;University of Calgary	65.69	Coutts
Chatham-Kent	Ontario	municipality	2458.09	103671			715			77.07	Ambassador Bridge
Drummondville	Quebec	ville	246.85	71852			553			90.4	St-Armand/Philipsburg
Edmonton	Alberta	city	684.37	812201	-19.1	22.2	1144	5.2	Concordia University College of Alberta;Grant MacEwan University;Northern Alberta Institute of Technology;The King's University College;University of Alberta	97.96	
Fredericton	New Brunswick	city	131.67	56224	-15.5	25.6	796	7.2	St. Thomas University;University of New Brunswick;Yorkville University	72.33	St. Stephen
Granby	Quebec	ville	152.72	63433			611			59.6	St-Armand/Philipsburg
Greater Sudbury	Ontario	city	3227.38	160274			921	5.5		78.89	
Guelph	Ontario	city	87.2	121688			961		University of Guelph	46.99	Peace Bridge
Halifax	Nova Scotia	regional municipality	5490.28	390096	-10.7	23.6	976	5.5	Dalhousie University;Mount Saint Vincent University;NSCAD University;Saint Mary's University;University of King's College	87.4	
Hamilton	Ontario	city	1117.23	519949			936	6.4	McMaster University	31.24	Peace Bridge
Kamloops	British Columbia	city	299.23	85678			863		Thompson Rivers University	111.64	
Kingston	Ontario	city	451.17	123363			1053	6.3	Collège militaire royal du Canada;Queen's University	66.05	Thousand Island Bridge
Kitchener	Ontario	city	136.79	219153			951	6.8		62.57	Peace Bridge
Langley	British Columbia	district municipality	308.03	104177					Trinity Western University	170.52	Aldergrove
Lethbridge	Alberta	city	122.36	83517			853		University of Lethbridge	86.99	Coutts
London	Ontario	city	420.57	366151			922	9.6	The University of Western Ontario	91.42	Blue Water Bridge
Medicine Hat	Alberta	city	112.01	60005			712			78.04	Coutts
Moncton	New Brunswick	city	141.17	69074			742	7.2	Crandall University;Université de Moncton		
Montreal	Quebec	ville	365.13	1649519			730	8.8	Université du Québec à Montréal;Concordia University;École de Technologie Supérieure;École Polytechnique de Montréal;HEC Montréal;McGill University;Université de Montréal	99.62	St-Armand/Philipsburg
Nanaimo	British Columbia	city	91.3	83810			814		Vancouver Island University	108.91	
Niagara Falls	Ontario	city	209.71	82997				9.8		60.3	Peace Bridge
North Bay	Ontario	city	319.05	53651			863		Nipissing University	68.4	
North Vancouver	British Columbia	city	11.83	48196					Capilano University	42.01	Boundary Bay
Oshawa	Ontario	city	145.68	149607			986	7.3	University of Ontario Institute of Technology	47.49	
Ottawa	Ontario	city	2790.22	883391	-15.5	26.5		6	Carleton University;Collège Universitaire Dominicain;University of Ottawa	58.6	Cornwall
Peterborough	Ontario	city	63.8	78698			913		Trent University	75.19	
Prince George	British Columbia	city	318.26	71974			766		University of Northern British Columbia	159.47	
Quebec City	Quebec	ville	454.1	516622	-17.6	25		4.7	École Nationale d'Administration Publique;Université du Québec;Université Laval	56.3	
Regina	Saskatchewan	city	145.45	193100	-21.6	25.7	1023	4	Campion College at the University of Regina;First Nations University of Canada;Luther College;University of Regina	129.99	North Portal
Saint John	New Brunswick	city	315.82	70063			691	7.2		101.4	St. Stephen
Sarnia	Ontario	city	164.71	72366			822			76.32	Blue Water Bridge
Saskatoon	Saskatchewan	city	209.56	222189			1041	5.5	St. Thomas More College;University of Saskatchewan	128.83	
Sault Ste. Marie	Ontario	city	223.26	75141			802			79.24	Sault Ste. Marie
Sherbrooke	Quebec	ville	353.49	154601			591	6.3	Bishop's University;Université de Sherbrooke	60.57	Stanstead
St. Catharines	Ontario	city	96.11	131400			872	7.5	Brock University	60.25	Peace Bridge
St. John's	Newfoundland and Labrador	city	446.04	106172	-9.3	20.3	859	7.1		93.3	
Surrey	British Columbia	city	316.41	468251					Kwantlen Polytechnic University	129.94	Pacific Highway
Thunder Bay	Ontario	city	328.24	108359			858	7.3	Lakehead University	108.79	
Toronto	Ontario	city	630.21	2615060	-10.5	26.8	1211	8.6	OCAD University;Ryerson University;University of Toronto;York University	70.87	Peace Bridge
Trois-Rivières	Quebec	ville	288.9	131338			555	9	Université du Québec à Trois-Rivières	70.38	
Vancouver	British Columbia	city	114.97	603502	0.5	21.9	1287	6.9	Emily Carr University of Art and Design;The University of British Columbia	42.01	Boundary Bay
Victoria	British Columbia	city	19.47	80017	0.7	22	1069	6.6	Royal Roads University;University of Victoria	124.1	
Waterloo	Ontario	city	64.02	98780			951		University of Waterloo;Wilfrid Laurier University	62.57	Peace Bridge
Windsor	Ontario	city	146.32	210891			790	11	University of Windsor	80.07	
Winnipeg	Manitoba	city	464.08	663617	-22.8	25.8	967	5.7	Canadian Mennonite University;University of Manitoba	113.6	Emerson
